date,time,sec_dur
"12-28-15  ","11:33     ",1094
"12-28-15  ","11:33     ",14
"12-28-15  ","11:33     ",414
"12-28-15  ","11:33     ",557
"12-28-15  ","11:33     ",203
"12-28-15  ","11:33     ",232
"12-28-15  ","11:33     ",894
"12-28-15  ","11:33     ",43
"12-28-15  ","11:33     ",76
"12-28-15  ","11:34     ",285
"12-28-15  ","11:34     ",561
"12-28-15  ","11:34     ",140
"12-28-15  ","11:34     ",52
"12-28-15  ","11:34     ",348
"12-28-15  ","11:34     ",442
"12-28-15  ","11:34     ",501
"12-28-15  ","11:34     ",27
"12-28-15  ","11:34     ",10
"12-28-15  ","11:34     ",683
"12-28-15  ","11:34     ",865
"12-28-15  ","11:35     ",895
"12-28-15  ","11:35     ",343
"12-28-15  ","11:35     ",140
"12-28-15  ","11:35     ",66
"12-28-15  ","11:35     ",397
"12-28-15  ","11:35     ",971
"12-28-15  ","11:35     ",797
"12-28-15  ","11:35     ",680
"12-28-15  ","11:35     ",28
"12-28-15  ","11:35     ",41
"12-28-15  ","11:35     ",2010
"12-28-15  ","11:36     ",1129
"12-28-15  ","11:36     ",175
"12-28-15  ","11:36     ",141
"12-28-15  ","11:36     ",440
"12-28-15  ","11:36     ",245
"12-28-15  ","11:36     ",325
"12-28-15  ","11:36     ",216
"12-28-15  ","11:36     ",1001
"12-28-15  ","11:36     ",141
"12-28-15  ","11:36     ",83
"12-28-15  ","11:36     ",1435
"12-28-15  ","11:36     ",435
"12-28-15  ","11:37     ",75
"12-28-15  ","11:37     ",23
"12-28-15  ","11:37     ",588
"12-28-15  ","11:37     ",819
"12-28-15  ","11:37     ",1582
"12-28-15  ","11:37     ",381
"12-28-15  ","11:37     ",34
"12-28-15  ","11:37     ",1790
"12-28-15  ","11:37     ",734
"12-28-15  ","11:37     ",141
"12-28-15  ","11:37     ",1440
"12-28-15  ","11:37     ",482
"12-28-15  ","11:38     ",31
"12-28-15  ","11:38     ",310
"12-28-15  ","11:38     ",37
"12-28-15  ","11:38     ",281
"12-28-15  ","11:38     ",1484
"12-28-15  ","11:38     ",179
"12-28-15  ","11:38     ",765
"12-28-15  ","11:38     ",1623
"12-28-15  ","11:38     ",771
"12-28-15  ","11:38     ",727
"12-28-15  ","11:38     ",433
"12-28-15  ","11:38     ",53
"12-28-15  ","11:38     ",35
"12-28-15  ","11:39     ",58
"12-28-15  ","11:39     ",75
"12-28-15  ","11:39     ",140
"12-28-15  ","11:39     ",179
"12-28-15  ","11:39     ",266
"12-28-15  ","11:40     ",148
"12-28-15  ","11:40     ",746
"12-28-15  ","11:40     ",155
"12-28-15  ","11:40     ",1567
"12-28-15  ","11:40     ",141
"12-28-15  ","11:40     ",47
"12-28-15  ","11:40     ",141
"12-28-15  ","11:40     ",855
"12-28-15  ","11:40     ",335
"12-28-15  ","11:40     ",38
"12-28-15  ","11:41     ",1069
"12-28-15  ","11:41     ",102
"12-28-15  ","11:41     ",731
"12-28-15  ","11:41     ",140
"12-28-15  ","11:41     ",42
"12-28-15  ","11:41     ",38
"12-28-15  ","11:41     ",49
"12-28-15  ","11:41     ",1871
"12-28-15  ","11:41     ",141
"12-28-15  ","11:42     ",20
"12-28-15  ","11:42     ",231
"12-28-15  ","11:42     ",239
"12-28-15  ","11:42     ",476
"12-28-15  ","11:42     ",563
"12-28-15  ","11:42     ",451
"12-28-15  ","11:43     ",141
"12-28-15  ","11:43     ",42
"12-28-15  ","11:43     ",2063
"12-28-15  ","11:43     ",1541
"12-28-15  ","11:43     ",141
"12-28-15  ","11:43     ",141
"12-28-15  ","11:43     ",267
"12-28-15  ","11:43     ",744
"12-28-15  ","11:43     ",82
"12-28-15  ","11:43     ",878
"12-28-15  ","11:44     ",261
"12-28-15  ","11:44     ",70
"12-28-15  ","11:44     ",141
"12-28-15  ","11:44     ",729
"12-28-15  ","11:44     ",203
"12-28-15  ","11:44     ",1132
"12-28-15  ","11:44     ",141
"12-28-15  ","11:44     ",112
"12-28-15  ","11:44     ",362
"12-28-15  ","11:44     ",141
"12-28-15  ","11:45     ",1610
"12-28-15  ","11:45     ",579
"12-28-15  ","11:45     ",1356
"12-28-15  ","11:45     ",221
"12-28-15  ","11:45     ",753
"12-28-15  ","11:45     ",140
"12-28-15  ","11:45     ",1036
"12-28-15  ","11:46     ",273
"12-28-15  ","11:47     ",658
"12-28-15  ","11:47     ",48
"12-28-15  ","11:47     ",155
"12-28-15  ","11:47     ",1049
"12-28-15  ","11:47     ",406
"12-28-15  ","11:47     ",47
"12-28-15  ","11:47     ",489
"12-28-15  ","11:47     ",625
"12-28-15  ","11:47     ",141
"12-28-15  ","11:47     ",12
"12-28-15  ","11:47     ",1436
"12-28-15  ","11:47     ",1034
"12-28-15  ","11:48     ",3
"12-28-15  ","11:48     ",1084
